Id,Channel Identifier,Abs. Time,Sender,Message,ID,Avatar,
33180,GSL_G.1_main_1,1700073372087,P.7,Hi! How's ur Wednesday going?,"""P.1_P.7""",261957,rabbit.png
33181,GSL_G.1_main_1,1700073376379,P.10,real,"""P.6_P.10""",689043,moose.png
33182,GSL_G.1_main_1,1700073380404,P.4,work out,"""P.2_P.4""",990670,panda.png
33183,GSL_G.1_main_1,1700073382662,P.4,color,"""P.2_P.4""",990670,panda.png
33184,GSL_G.1_main_1,1700073382800,P.10,is that ur fave?,"""P.6_P.10""",689043,moose.png
33185,GSL_G.1_main_1,1700073383264,P.3,Not bad,"""P.1_P.3""",931415,monkey.png
33186,GSL_G.1_main_1,1700073383638,P.4,wbu,"""P.2_P.4""",990670,panda.png
33187,GSL_G.1_main_1,1700073385480,P.6,suits is cool but ive seen it all through tik tok lol,"""P.6_P.8""",404045,donkey.png
33188,GSL_G.1_main_1,1700073389838,P.7,the panhandle,"""P.7_P.10""",261957,rabbit.png
33189,GSL_G.1_main_1,1700073390544,P.8,Mood,"""P.4_P.8""",903981,Pig.png
33190,GSL_G.1_main_1,1700073391510,P.6,any fav movies?,"""P.6_P.8""",404045,donkey.png
33191,GSL_G.1_main_1,1700073392144,P.4,breaking bad for sure,"""P.4_P.6""",990670,panda.png
33192,GSL_G.1_main_1,1700073396084,P.4,game of thrones never watched,"""P.4_P.6""",990670,panda.png
33193,GSL_G.1_main_1,1700073397130,P.10,slay dark green is slept on,"""P.8_P.10""",689043,moose.png
33194,GSL_G.1_main_1,1700073397811,P.3,idk what the researchers want us to do,"""P.1_P.3""",931415,monkey.png
33195,GSL_G.1_main_1,1700073399575,P.8,So. Close. To. Break.,"""P.4_P.8""",903981,Pig.png
33196,GSL_G.1_main_1,1700073400516,P.7,hbu?,"""P.7_P.10""",261957,rabbit.png
33197,GSL_G.1_main_1,1700073401358,P.1,"Pretty good!  Finishing up some assignments, and now thing!  Other than that, not crazy!","""P.1_P.7""",527924,elephant.png
33198,GSL_G.1_main_1,1700073401732,P.10,i love light blue and light pink,"""P.8_P.10""",689043,moose.png
33199,GSL_G.1_main_1,1700073403961,P.9,same. what kind of music do you listen to?,"""P.4_P.9""",939559,racoon.png
33200,GSL_G.1_main_1,1700073404502,P.6,idk those ones but i like game of thrones and brekaing bad,"""P.6_P.9""",404045,donkey.png
33201,GSL_G.1_main_1,1700073405472,P.1,What about yours?,"""P.1_P.7""",527924,elephant.png
33202,GSL_G.1_main_1,1700073406607,P.2,"haha yea also a great one, I don't think I ever finished it though I might've only made it through half of the seasons","""P.2_P.6""",313398,dog.png
33203,GSL_G.1_main_1,1700073408694,P.4,when are you leaving,"""P.4_P.8""",990670,panda.png
33204,GSL_G.1_main_1,1700073409618,P.7,Im going to guess the nova area of va lol?,"""P.7_P.10""",261957,rabbit.png
33205,GSL_G.1_main_1,1700073412589,P.1,Pretty good!!!,"""P.1_P.8""",527924,elephant.png
33206,GSL_G.1_main_1,1700073415835,P.3,It was definitely something,"""P.3_P.6""",931415,monkey.png
33207,GSL_G.1_main_1,1700073416243,P.10,idk where that is haha but slay,"""P.7_P.10""",689043,moose.png
33208,GSL_G.1_main_1,1700073416470,P.8,Love,"""P.8_P.10""",903981,Pig.png
33209,GSL_G.1_main_1,1700073417497,P.4,indie and edm,"""P.4_P.9""",990670,panda.png
33210,GSL_G.1_main_1,1700073418790,P.4,wbu!!,"""P.4_P.9""",990670,panda.png
33211,GSL_G.1_main_1,1700073419242,P.1,Right?!,"""P.1_P.3""",527924,elephant.png
33212,GSL_G.1_main_1,1700073424025,P.6,"Dr Strange is cool, idk about Wanda, do you watch any anime?","""P.1_P.6""",404045,donkey.png
33213,GSL_G.1_main_1,1700073426131,P.3,it felt abrupt but I liked it,"""P.3_P.6""",931415,monkey.png
33214,GSL_G.1_main_1,1700073427483,P.10,and i'm actually from cville,"""P.7_P.10""",689043,moose.png
33215,GSL_G.1_main_1,1700073428101,P.2,"Nice nice sounds fun, I like working out too I got for a lot of runs","""P.2_P.4""",313398,dog.png
33216,GSL_G.1_main_1,1700073431893,P.2,what do you mean by color,"""P.2_P.4""",313398,dog.png
33217,GSL_G.1_main_1,1700073432120,P.8,Have you had a good week so far?,"""P.8_P.10""",903981,Pig.png
33218,GSL_G.1_main_1,1700073432716,P.6,yeah fs,"""P.6_P.10""",404045,donkey.png
33219,GSL_G.1_main_1,1700073440905,P.4,HAHAH I color in a coloring book,"""P.2_P.4""",990670,panda.png
33220,GSL_G.1_main_1,1700073443750,P.6,have you seen the other comedies like parks and rec?,"""P.6_P.10""",404045,donkey.png
33221,GSL_G.1_main_1,1700073444036,P.1,"I'm trying to quickly type to respond to everyone, but I'm just really confused!","""P.1_P.3""",527924,elephant.png
33222,GSL_G.1_main_1,1700073444284,P.10,it's been so busy studying for tests,"""P.8_P.10""",689043,moose.png
33223,GSL_G.1_main_1,1700073444589,P.4,very peaceful!,"""P.2_P.4""",990670,panda.png
33224,GSL_G.1_main_1,1700073446107,P.10,wbu?,"""P.8_P.10""",689043,moose.png
33225,GSL_G.1_main_1,1700073447396,P.7,"Ooh good question.. I love parks and rec, snl (if that counts), probably any comedy","""P.6_P.7""",261957,rabbit.png
33226,GSL_G.1_main_1,1700073450722,P.7,hbu?,"""P.6_P.7""",261957,rabbit.png
33227,GSL_G.1_main_1,1700073452937,P.3,Lol,"""P.1_P.3""",931415,monkey.png
33228,GSL_G.1_main_1,1700073452990,P.4,hey,"""P.4_P.7""",990670,panda.png
33229,GSL_G.1_main_1,1700073454094,P.10,hiii how are u,"""P.1_P.10""",689043,moose.png
33230,GSL_G.1_main_1,1700073457689,P.4,hey,"""P.4_P.5""",990670,panda.png
33231,GSL_G.1_main_1,1700073458271,P.5,I just recently started watching Barry. I'd say that's my favorite show to watch right now. What's your favorite show?,"""P.5_P.6""",966678,fox2.png
33232,GSL_G.1_main_1,1700073459206,P.10,hey! how are u,"""P.2_P.10""",689043,moose.png
33233,GSL_G.1_main_1,1700073462023,P.1,Only Avatar--is that counts?  Haha,"""P.1_P.6""",527924,elephant.png
33234,GSL_G.1_main_1,1700073462722,P.10,hi :)),"""P.3_P.10""",689043,moose.png
33235,GSL_G.1_main_1,1700073463868,P.8,Friday,"""P.4_P.8""",903981,Pig.png
33236,GSL_G.1_main_1,1700073463906,P.7,oh nice!,"""P.7_P.10""",261957,rabbit.png
33237,GSL_G.1_main_1,1700073464150,P.6,are you watching anything currently?,"""P.2_P.6""",404045,donkey.png
33238,GSL_G.1_main_1,1700073466552,P.8,Wbu,"""P.4_P.8""",903981,Pig.png
33239,GSL_G.1_main_1,1700073470090,P.4,jealous,"""P.4_P.8""",990670,panda.png
33240,GSL_G.1_main_1,1700073471444,P.4,monday,"""P.4_P.8""",990670,panda.png
33241,GSL_G.1_main_1,1700073471821,P.8,I literally cannot wait,"""P.4_P.8""",903981,Pig.png
33242,GSL_G.1_main_1,1700073474205,P.3,Wassup,"""P.3_P.10""",931415,monkey.png
33243,GSL_G.1_main_1,1700073482108,P.1,Hanging in there!!  What about you?,"""P.1_P.10""",527924,elephant.png
33244,GSL_G.1_main_1,1700073482340,P.10,def star wars revenge of the sith,"""P.4_P.10""",689043,moose.png
33245,GSL_G.1_main_1,1700073483423,P.10,u?,"""P.4_P.10""",689043,moose.png
33246,GSL_G.1_main_1,1700073485211,P.6,"yeah, although im worried about what comes next in marvel universe seems like its going downhill","""P.3_P.6""",404045,donkey.png
33247,GSL_G.1_main_1,1700073485864,P.9,yeah they're maybe a little older both HBO I think though. Weirdly haven't watched breaking bad but I like GOT. favorite music?,"""P.6_P.9""",939559,racoon.png
33248,GSL_G.1_main_1,1700073486261,P.4,where are you from,"""P.4_P.8""",990670,panda.png
33249,GSL_G.1_main_1,1700073490357,P.8,Yeah same burnout is real,"""P.8_P.10""",903981,Pig.png
33250,GSL_G.1_main_1,1700073491339,P.5,Hey,"""P.4_P.5""",966678,fox2.png
33251,GSL_G.1_main_1,1700073491979,P.1,Hello!!  How are you?,"""P.1_P.2""",527924,elephant.png
33252,GSL_G.1_main_1,1700073493243,P.4,interesting,"""P.4_P.10""",990670,panda.png
33253,GSL_G.1_main_1,1700073494293,P.6,ahhh you are missing out,"""P.4_P.6""",404045,donkey.png
33254,GSL_G.1_main_1,1700073496082,P.9,yessss I love EDM,"""P.4_P.9""",939559,racoon.png
33255,GSL_G.1_main_1,1700073497131,P.10,same haha this week has been so stressful,"""P.1_P.10""",689043,moose.png
33256,GSL_G.1_main_1,1700073502238,P.1,Hello!!,"""P.1_P.5""",527924,elephant.png
33257,GSL_G.1_main_1,1700073503080,P.8,Very much looking forward to the break lol,"""P.8_P.10""",903981,Pig.png
33258,GSL_G.1_main_1,1700073505604,P.6,do you have any shows you are watching rn?,"""P.4_P.6""",404045,donkey.png
33259,GSL_G.1_main_1,1700073508511,P.1,*if,"""P.1_P.6""",527924,elephant.png
33260,GSL_G.1_main_1,1700073510214,P.3,Yea wasnt the new captain marvel movie a bust,"""P.3_P.6""",931415,monkey.png
33261,GSL_G.1_main_1,1700073510754,P.4,umm probably the perks of being a wallflower,"""P.4_P.10""",990670,panda.png
33262,GSL_G.1_main_1,1700073511027,P.10,REAL,"""P.8_P.10""",689043,moose.png
33263,GSL_G.1_main_1,1700073514054,P.9,also metal. what dj's do you like?,"""P.4_P.9""",939559,racoon.png
33264,GSL_G.1_main_1,1700073515762,P.3,I haven’t seen it yet,"""P.3_P.6""",931415,monkey.png
33265,GSL_G.1_main_1,1700073518893,P.10,where are you from,"""P.8_P.10""",689043,moose.png
33266,GSL_G.1_main_1,1700073519166,P.1,Hello!,"""P.1_P.9""",527924,elephant.png
33267,GSL_G.1_main_1,1700073520190,P.5,Hi!,"""P.1_P.5""",966678,fox2.png
33268,GSL_G.1_main_1,1700073524196,P.4,ooo i’m into dubstep haha,"""P.4_P.9""",990670,panda.png
33269,GSL_G.1_main_1,1700073524990,P.6,I'd probably say Game of Thrones or avatar the last airbender,"""P.5_P.6""",404045,donkey.png
33270,GSL_G.1_main_1,1700073535519,P.6,Avatar is so good that is like my childhood,"""P.1_P.6""",404045,donkey.png
33271,GSL_G.1_main_1,1700073536990,P.1,Do you have any tests this week?,"""P.1_P.10""",527924,elephant.png
33272,GSL_G.1_main_1,1700073538070,P.10,tbh i didn't love parks and rec,"""P.6_P.10""",689043,moose.png
33273,GSL_G.1_main_1,1700073539785,P.4,its very similar to metal/ hard rock,"""P.4_P.9""",990670,panda.png
33274,GSL_G.1_main_1,1700073539854,P.8,I’m an international student so I’m just home with one of my friends from nova,"""P.4_P.8""",903981,Pig.png
33275,GSL_G.1_main_1,1700073542172,P.8,Wbu,"""P.4_P.8""",903981,Pig.png
33276,GSL_G.1_main_1,1700073543510,P.4,lots of head banging and such,"""P.4_P.9""",990670,panda.png
33277,GSL_G.1_main_1,1700073544081,P.10,but i love comedies,"""P.6_P.10""",689043,moose.png
33278,GSL_G.1_main_1,1700073544931,P.7,did you like it? like would you want to stay here after college or move somewhere else?,"""P.7_P.10""",261957,rabbit.png
33279,GSL_G.1_main_1,1700073545348,P.6,damn thats crazy,"""P.6_P.10""",404045,donkey.png
33280,GSL_G.1_main_1,1700073553537,P.2,Oh yea sounds like it I like doodling a lot in my notebooks its kind of similar. Always happens when Im trying to study and then I just get distracted,"""P.2_P.4""",313398,dog.png
33281,GSL_G.1_main_1,1700073554420,P.6,me neither i heard it was awful,"""P.3_P.6""",404045,donkey.png
33282,GSL_G.1_main_1,1700073559884,P.10,haha leslie knope annoyed me sm,"""P.6_P.10""",689043,moose.png
33283,GSL_G.1_main_1,1700073561512,P.4,i’m too lazy to start a new show so i’m watching stranger things,"""P.4_P.6""",990670,panda.png
33284,GSL_G.1_main_1,1700073567428,P.1,"Yessss!!!  I recenly rewatched it, but that was like my childhood!!","""P.1_P.6""",527924,elephant.png
33285,GSL_G.1_main_1,1700073568954,P.9,haha same. so ready for this week to be over!,"""P.9_P.10""",939559,racoon.png
33286,GSL_G.1_main_1,1700073568956,P.4,ans the great british baking shkw,"""P.4_P.6""",990670,panda.png
33287,GSL_G.1_main_1,1700073571111,P.8,Oceans 8 but I get made fun of for that answer,"""P.6_P.8""",903981,Pig.png
33288,GSL_G.1_main_1,1700073573724,P.4,what’s uo,"""P.4_P.5""",990670,panda.png
33289,GSL_G.1_main_1,1700073576540,P.1,Do you have a favorite character?,"""P.1_P.6""",527924,elephant.png
33290,GSL_G.1_main_1,1700073576910,P.2,Not really actually I get too addicted to tv shows and they just take up all my time,"""P.2_P.6""",313398,dog.png
33291,GSL_G.1_main_1,1700073579085,P.6,SNL is pretty good i loved their videos on the presidential debates between trump and hillary long time ago,"""P.6_P.7""",404045,donkey.png
33292,GSL_G.1_main_1,1700073579288,P.9,for sure. do you like excision,"""P.4_P.9""",939559,racoon.png
33293,GSL_G.1_main_1,1700073581159,P.4,oh wow that’s sick,"""P.4_P.8""",990670,panda.png
33294,GSL_G.1_main_1,1700073582325,P.7,hi! how's ur week going,"""P.4_P.7""",261957,rabbit.png
33295,GSL_G.1_main_1,1700073582732,P.4,nyc!,"""P.4_P.8""",990670,panda.png
33296,GSL_G.1_main_1,1700073584216,P.8,Always looking for some good recs,"""P.6_P.8""",903981,Pig.png
33297,GSL_G.1_main_1,1700073585948,P.10,i would love to live in paris after uva,"""P.7_P.10""",689043,moose.png
33298,GSL_G.1_main_1,1700073586373,P.2,I've been on my movie grind lately not too big of a commitment,"""P.2_P.6""",313398,dog.png
33299,GSL_G.1_main_1,1700073587296,P.6,lol is that the all women one?,"""P.6_P.8""",404045,donkey.png
33300,GSL_G.1_main_1,1700073588151,P.10,wbu?,"""P.7_P.10""",689043,moose.png
33301,GSL_G.1_main_1,1700073589290,P.4,i’m tired! how’s your week!,"""P.4_P.7""",990670,panda.png
33302,GSL_G.1_main_1,1700073593147,P.10,REAL,"""P.9_P.10""",689043,moose.png
33303,GSL_G.1_main_1,1700073596360,P.7,haha same Im just trying to make it to thanksgiving break :((,"""P.4_P.7""",261957,rabbit.png
33304,GSL_G.1_main_1,1700073598146,P.9,hey!! how's it going?,"""P.1_P.9""",939559,racoon.png
33305,GSL_G.1_main_1,1700073600511,P.2,Just watched ted 2 the other day for the first time that was a solid one,"""P.2_P.6""",313398,dog.png
33306,GSL_G.1_main_1,1700073601389,P.7,the struggle is real,"""P.4_P.7""",261957,rabbit.png
33307,GSL_G.1_main_1,1700073601586,P.10,i'm excited for break,"""P.9_P.10""",689043,moose.png
33308,GSL_G.1_main_1,1700073605115,P.6,probably juice wrld wbu?,"""P.6_P.9""",404045,donkey.png
33309,GSL_G.1_main_1,1700073605748,P.7,do u have any fun plans?,"""P.4_P.7""",261957,rabbit.png
33310,GSL_G.1_main_1,1700073606932,P.4,<3 excision,"""P.4_P.9""",990670,panda.png
33311,GSL_G.1_main_1,1700073607932,P.5,Those are really good shows. Did you watch house of the dragon?,"""P.5_P.6""",966678,fox2.png
33312,GSL_G.1_main_1,1700073609324,P.6,Taylor swift???,"""P.6_P.9""",404045,donkey.png
33313,GSL_G.1_main_1,1700073614296,P.1,So like I'm wondering if the animals that we got have anything to do with it?  Or are they directly observing our conversations?,"""P.1_P.3""",527924,elephant.png
33314,GSL_G.1_main_1,1700073614391,P.7,omg yes,"""P.6_P.7""",261957,rabbit.png
33315,GSL_G.1_main_1,1700073616225,P.10,yeah i have a psych and russian test,"""P.1_P.10""",689043,moose.png
33316,GSL_G.1_main_1,1700073618871,P.2,Hi i'm great how are you,"""P.2_P.10""",313398,dog.png
33317,GSL_G.1_main_1,1700073621146,P.8,Fun,"""P.4_P.8""",903981,Pig.png
33318,GSL_G.1_main_1,1700073624998,P.7,haha that's actually originally what hooked me,"""P.6_P.7""",261957,rabbit.png
33319,GSL_G.1_main_1,1700073627354,P.9,me too. what's your favorite thanksgiving dish,"""P.9_P.10""",939559,racoon.png
33320,GSL_G.1_main_1,1700073627611,P.8,My moms from LI,"""P.4_P.8""",903981,Pig.png
33321,GSL_G.1_main_1,1700073628505,P.2,Hiiii I'm doing very well how about yourself,"""P.1_P.2""",313398,dog.png
33322,GSL_G.1_main_1,1700073628644,P.10,ooh that's a great choice,"""P.4_P.10""",689043,moose.png
33323,GSL_G.1_main_1,1700073628657,P.6,yeah it looks pretty good so far but is a bit too slow paced for me,"""P.5_P.6""",404045,donkey.png
33324,GSL_G.1_main_1,1700073629451,P.4,i’m just going home and seeing my family haven’t been home in too long wbh,"""P.4_P.7""",990670,panda.png
33325,GSL_G.1_main_1,1700073630263,P.5,Hey!,"""P.5_P.9""",966678,fox2.png
33326,GSL_G.1_main_1,1700073631432,P.10,i loved that book,"""P.4_P.10""",689043,moose.png
33327,GSL_G.1_main_1,1700073639415,P.7,do you have any fun plans for thanksgiving?,"""P.6_P.7""",261957,rabbit.png
33328,GSL_G.1_main_1,1700073642307,P.8,Yep,"""P.6_P.8""",903981,Pig.png
33329,GSL_G.1_main_1,1700073642684,P.1,Pretty good!!!  I'm not rapidly trying to answer a ton of messages now LOL,"""P.1_P.9""",527924,elephant.png
33330,GSL_G.1_main_1,1700073643442,P.10,busy but good,"""P.2_P.10""",689043,moose.png
33331,GSL_G.1_main_1,1700073645767,P.8,It goes so hard,"""P.6_P.8""",903981,Pig.png
33332,GSL_G.1_main_1,1700073646502,P.9,RIP,"""P.6_P.9""",939559,racoon.png
33333,GSL_G.1_main_1,1700073650379,P.8,I love a heist,"""P.6_P.8""",903981,Pig.png
33334,GSL_G.1_main_1,1700073650544,P.10,where are u from?,"""P.2_P.10""",689043,moose.png
33335,GSL_G.1_main_1,1700073652184,P.6,"I relate a lot to Zuko so he is my fav, but uncle iroh is like who i want to be when i grow up ig","""P.1_P.6""",404045,donkey.png
33336,GSL_G.1_main_1,1700073653152,P.4,oh same but I can’t draw for my life,"""P.2_P.4""",990670,panda.png
33337,GSL_G.1_main_1,1700073654104,P.6,wbu,"""P.1_P.6""",404045,donkey.png
33338,GSL_G.1_main_1,1700073654840,P.8,Would recommend,"""P.6_P.8""",903981,Pig.png
33339,GSL_G.1_main_1,1700073658382,P.1,Pretty good!  Rapid typing!!!,"""P.1_P.2""",527924,elephant.png
33340,GSL_G.1_main_1,1700073662015,P.4,ooo yes the book was incredible,"""P.4_P.10""",990670,panda.png
